,aqi
aqi,1.0
pm2_5,0.5430246697963916
pm10,0.4564682383841031
so2,0.3916208725579434
co,0.28242025542411636
month,0.17420853710058878
hour,0.16801114157670685
no2,0.15636975990585913
pressure,0.1175026853073672
aqi_change_rate,0.10787540347379436
o3,0.035785120488113976
is_weekend,0.02439652371966722
humidity,0.024169917079429098
day_of_week,0.009719143090567402
day,0.00463036184014524
clouds,-0.028346329894405647
feels_like,-0.0810370498163949
temperature,-0.09137733578175955
wind_speed,-0.10208982950417175
