,temperature,feels_like,humidity,pressure,wind_speed,clouds,aqi,co,no2,o3,so2,pm2_5,pm10,hour,day,month,day_of_week,is_weekend,aqi_change_rate
temperature,1.0,0.9723980162122354,-0.3040907154877094,-0.7166097782751621,0.1649693708316953,-0.05847845264120611,-0.09137733578175955,-0.2863102370239645,-0.3888587278034835,0.6431576865876396,-0.09062804911887949,-0.3183342024404872,0.013877288418890731,0.1915520838025209,0.03142628304229847,0.08190026530960934,-0.0018635597645201057,0.0015945923909271584,0.12559723524638544
feels_like,0.9723980162122354,1.0,-0.09585992955738085,-0.7706097090979266,0.08737049507715454,-0.031838701287970506,-0.0810370498163949,-0.25282628681456304,-0.3486155325444407,0.5777582033818927,-0.11311581576521572,-0.2606759635963186,0.04268112280946418,0.1589624586162413,0.029145828841353447,0.14477272752259163,0.0031580837420710434,0.005744644846092446,0.09572341999905187
humidity,-0.3040907154877094,-0.09585992955738085,1.0,-0.09784326576023407,-0.12108075937853889,0.1861834026718605,0.024169917079429098,0.1773158446992857,0.26661308465976874,-0.4479294826558511,-0.1588425158157593,0.26906416740925815,0.12164817525033496,-0.162451415499821,-0.013723241033644534,0.21870189417382527,0.001822552929316393,-0.005509516686738764,-0.1420357043594365
pressure,-0.7166097782751621,-0.7706097090979266,-0.09784326576023407,1.0,-0.10991346919857761,-0.019085218875666218,0.1175026853073672,0.2479451717381148,0.2030523269686016,-0.2601065031166317,0.37309250274087674,0.19799517767602717,-0.004335919437449649,-0.0017995282699582028,-0.04678275356497911,-0.03648666969831891,0.0022059643041680227,0.0012787876737390914,-0.0006013370564609087
wind_speed,0.1649693708316953,0.08737049507715454,-0.12108075937853889,-0.10991346919857761,1.0,0.13789710733836655,-0.10208982950417175,-0.2520232690933213,-0.18767876088496754,0.2230966686102094,-0.12723293568125915,-0.17514610886677587,-0.016818703680980793,0.1288485937376145,0.0039027385324583584,-0.14179963978983962,-0.03090567860627944,-0.04894025273218402,0.026365369824355916
clouds,-0.05847845264120611,-0.031838701287970506,0.1861834026718605,-0.019085218875666218,0.13789710733836655,1.0,-0.028346329894405647,-0.057566157665152884,-0.10624351283473148,0.019113083853314023,-0.0651530728658385,-0.03027427352240496,0.00896855042615992,-0.02168620615479782,-0.0006558227082616982,-0.15099214411280032,-0.007985029322299,0.002362856260908254,0.0433836678587549
aqi,-0.09137733578175955,-0.0810370498163949,0.024169917079429098,0.1175026853073672,-0.10208982950417175,-0.028346329894405647,1.0,0.28242025542411636,0.15636975990585913,0.035785120488113976,0.3916208725579434,0.5430246697963916,0.4564682383841031,0.16801114157670685,0.00463036184014524,0.17420853710058878,0.009719143090567402,0.02439652371966722,0.10787540347379436
co,-0.2863102370239645,-0.25282628681456304,0.1773158446992857,0.2479451717381148,-0.2520232690933213,-0.057566157665152884,0.28242025542411636,1.0,0.6471100810685165,-0.4430679914031198,0.45079610338647563,0.4814190207157863,0.2559539009338435,0.3843434463922915,0.030617558474850495,0.15309152022563272,0.007234649161233366,0.01596305122696265,-0.21303665336307626
no2,-0.3888587278034835,-0.3486155325444407,0.26661308465976874,0.2030523269686016,-0.18767876088496754,-0.10624351283473148,0.15636975990585913,0.6471100810685165,1.0,-0.7737375594183398,0.31718940400666357,0.6490622985102935,0.3428958838134305,0.2914443078511966,0.014680791009081992,0.13329097076959756,0.011335764814254348,0.011596224125253587,-0.31393708479831234
o3,0.6431576865876396,0.5777582033818927,-0.4479294826558511,-0.2601065031166317,0.2230966686102094,0.019113083853314023,0.035785120488113976,-0.4430679914031198,-0.7737375594183398,1.0,0.11697677128330436,-0.4249734011176688,-0.10086114825897653,0.12380866978738339,-0.015738678825938504,-0.10112667612026217,-0.0016752998673145926,0.00477468254596237,0.33630961505828566
so2,-0.09062804911887949,-0.11311581576521572,-0.1588425158157593,0.37309250274087674,-0.12723293568125915,-0.0651530728658385,0.3916208725579434,0.45079610338647563,0.31718940400666357,0.11697677128330436,1.0,0.4924059328404255,0.3305923636962678,0.41698450609844,0.015239357883614376,0.13160680574693723,0.019975948018233717,0.023014088082961463,0.03341379904227916
pm2_5,-0.3183342024404872,-0.2606759635963186,0.26906416740925815,0.19799517767602717,-0.17514610886677587,-0.03027427352240496,0.5430246697963916,0.4814190207157863,0.6490622985102935,-0.4249734011176688,0.4924059328404255,1.0,0.7815241149731045,0.18602268445069794,0.004198042502524583,0.16670460031361098,0.022453252837209815,0.024683554048733975,-0.0766584054498187
pm10,0.013877288418890731,0.04268112280946418,0.12164817525033496,-0.004335919437449649,-0.016818703680980793,0.00896855042615992,0.4564682383841031,0.2559539009338435,0.3428958838134305,-0.10086114825897653,0.3305923636962678,0.7815241149731045,1.0,0.19529031317437473,-0.010226418416776122,0.08472694691995639,0.03459648528069797,0.033390752885421496,-0.013116112177416518
hour,0.1915520838025209,0.1589624586162413,-0.162451415499821,-0.0017995282699582028,0.1288485937376145,-0.02168620615479782,0.16801114157670685,0.3843434463922915,0.2914443078511966,0.12380866978738339,0.41698450609844,0.18602268445069794,0.19529031317437473,1.0,-1.0150801929549395e-17,-3.35668878550642e-16,2.3734866896966767e-17,9.864664879237502e-18,-0.09671980611015514
day,0.03142628304229847,0.029145828841353447,-0.013723241033644534,-0.04678275356497911,0.0039027385324583584,-0.0006558227082616982,0.00463036184014524,0.030617558474850495,0.014680791009081992,-0.015738678825938504,0.015239357883614376,0.004198042502524583,-0.010226418416776122,-1.0150801929549395e-17,1.0,0.011893176638334167,0.0038418188568018056,-0.0009915583786641875,-0.0019256352141506959
month,0.08190026530960934,0.14477272752259163,0.21870189417382527,-0.03648666969831891,-0.14179963978983962,-0.15099214411280032,0.17420853710058878,0.15309152022563272,0.13329097076959756,-0.10112667612026217,0.13160680574693723,0.16670460031361098,0.08472694691995639,-3.35668878550642e-16,0.011893176638334167,1.0,-0.007264777880134225,-0.0003641402062895614,0.0029343328123397345
day_of_week,-0.0018635597645201057,0.0031580837420710434,0.001822552929316393,0.0022059643041680227,-0.03090567860627944,-0.007985029322299,0.009719143090567402,0.007234649161233366,0.011335764814254348,-0.0016752998673145926,0.019975948018233717,0.022453252837209815,0.03459648528069797,2.3734866896966767e-17,0.0038418188568018056,-0.007264777880134225,1.0,0.7895682563373374,0.003528517192929169
