,count,mean,std,min,25%,50%,75%,max
temperature,17520.0,22.01767694063927,7.9029839915531355,2.8,15.6,23.0,27.825,44.3
feels_like,17520.0,22.562237442922374,9.914703570818991,0.5,14.0,23.6,30.8,44.4
humidity,17520.0,59.05981735159818,20.923241285263593,7.0,44.0,61.0,75.0,100.0
pressure,17520.0,950.0408904109589,5.456054168640072,935.8,945.6,950.3,954.5,966.6
wind_speed,17520.0,6.500365296803652,3.652080592927137,0.0,3.8,6.0,8.6,32.7
clouds,17520.0,32.23139269406393,39.490004655884796,0.0,0.0,9.0,70.0,100.0
aqi,17520.0,112.40976027397261,31.21111595896059,51.0,88.0,106.0,139.0,206.0
co,17520.0,969.3217465753424,696.9656466293426,14.0,462.0,730.0,1285.0,5420.0
no2,17520.0,40.26959474885845,32.41105599607101,0.0,13.9,31.0,59.7,151.9
o3,17520.0,77.31107305936074,59.089906282526755,0.0,26.0,66.0,122.0,241.0
so2,17520.0,12.046010273972605,7.654146841715595,0.0,6.6,10.1,15.2,54.2
pm2_5,17520.0,38.192522831050226,21.743791709570267,3.2,22.7,33.349999999999994,48.2,170.9
pm10,17520.0,50.995473744292234,31.14707487836362,3.2,30.0,43.8,63.8,501.1
hour,17520.0,11.5,6.922384111875023,0.0,5.75,11.5,17.25,23.0
day,17520.0,15.72054794520548,8.796498048523272,1.0,8.0,16.0,23.0,31.0
month,17520.0,6.526027397260274,3.4479497238477728,1.0,4.0,7.0,10.0,12.0
day_of_week,17520.0,3.0013698630136987,1.997657843189326,0.0,1.0,3.0,5.0,6.0
is_weekend,17520.0,0.28493150684931506,0.4513946978305514,0.0,0.0,0.0,1.0,1.0
aqi_change_rate,17519.0,-0.0018265882755865062,6.729978452818905,-45.0,-1.0,0.0,1.0,48.0
